run_id,timestamp,entry_type,identifier,value
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:45,chunk_count_track,&quot;Q&quot;_Is_for_Quarry,1
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:45,document_indexing_track,&quot;Q&quot;_Is_for_Quarry,1116.171
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:45,chunk_count_track,"10,000_metres",1
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:45,document_indexing_track,"10,000_metres",271.053
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:45,chunk_count_track,122nd_SS-Standarte,1
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:45,document_indexing_track,122nd_SS-Standarte,227.364
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:45,chunk_count_track,18th_Independent_Spirit_Awards,1
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:45,document_indexing_track,18th_Independent_Spirit_Awards,98.677
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:46,chunk_count_track,1920_(film),2
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:46,document_indexing_track,1920_(film),851.682
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:46,chunk_count_track,1920_(film_series),1
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:46,document_indexing_track,1920_(film_series),185.437
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:46,chunk_count_track,1925_Birthday_Honours,1
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:46,document_indexing_track,1925_Birthday_Honours,188.244
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:46,chunk_count_track,1956_Night_Series_Cup,1
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:46,document_indexing_track,1956_Night_Series_Cup,85.116
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_entity_06-02_13-40,2026-02-06 13:41:47,chunk_count_track,1957_Indianapolis_500,2
