run_id,timestamp,entry_type,identifier,value
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_lexical_06-02_11-17,2026-02-06 11:19:09,chunk_count_track,&quot;Q&quot;_Is_for_Quarry,1
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_lexical_06-02_11-17,2026-02-06 11:19:09,document_indexing_track,&quot;Q&quot;_Is_for_Quarry,1163.792
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_lexical_06-02_11-17,2026-02-06 11:19:09,chunk_count_track,"10,000_metres",1
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_lexical_06-02_11-17,2026-02-06 11:19:09,document_indexing_track,"10,000_metres",288.358
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_lexical_06-02_11-17,2026-02-06 11:19:09,chunk_count_track,122nd_SS-Standarte,1
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_lexical_06-02_11-17,2026-02-06 11:19:09,document_indexing_track,122nd_SS-Standarte,233.131
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_lexical_06-02_11-17,2026-02-06 11:19:09,chunk_count_track,18th_Independent_Spirit_Awards,1
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_lexical_06-02_11-17,2026-02-06 11:19:09,document_indexing_track,18th_Independent_Spirit_Awards,103.577
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_lexical_06-02_11-17,2026-02-06 11:19:10,chunk_count_track,1920_(film),2
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_lexical_06-02_11-17,2026-02-06 11:19:10,document_indexing_track,1920_(film),912.514
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_lexical_06-02_11-17,2026-02-06 11:19:10,chunk_count_track,1920_(film_series),1
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_lexical_06-02_11-17,2026-02-06 11:19:10,document_indexing_track,1920_(film_series),206.353
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_lexical_06-02_11-17,2026-02-06 11:19:11,chunk_count_track,1925_Birthday_Honours,1
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_lexical_06-02_11-17,2026-02-06 11:19:11,document_indexing_track,1925_Birthday_Honours,193.957
HotpotQA_1k-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-HotpotQA-DAHR-alpha_lexical_06-02_11-17,2026-02-06 11:19:11,chunk_count_track,1956_Night_Series_Cup,1
