run_id,timestamp,entry_type,identifier,value
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:50,chunk_count_track,&#039;Massive intel failure by Mossad&#039;_ Hamas&#039; surprise attack on Israel shocks internet,2
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:50,document_indexing_track,&#039;Massive intel failure by Mossad&#039;_ Hamas&#039; surprise attack on Israel shocks internet,1601.572
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:51,chunk_count_track,"'Angels, demons, spirits and souls do exist,' says exorcist priest who warns against Ouija board use",2
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:51,document_indexing_track,"'Angels, demons, spirits and souls do exist,' says exorcist priest who warns against Ouija board use",694.712
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:52,chunk_count_track,"'In God We Trust' essential to America's future as national faith appears to wane, says Washington pastor",1
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:52,document_indexing_track,"'In God We Trust' essential to America's future as national faith appears to wane, says Washington pastor",520.639
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:53,chunk_count_track,'They seemed primed to take over'_ How the Great Dying doomed the 'beast tooth' and set the stage for the dawn of the dinosaurs,2
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:53,document_indexing_track,'They seemed primed to take over'_ How the Great Dying doomed the 'beast tooth' and set the stage for the dawn of the dinosaurs,854.902
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:53,chunk_count_track,'Too big to fail' Egypt faces economic crisis but has an anti-Gaza refugee policy. Israel and the U.S. hope that will change,2
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:53,document_indexing_track,'Too big to fail' Egypt faces economic crisis but has an anti-Gaza refugee policy. Israel and the U.S. hope that will change,666.865
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:54,chunk_count_track,"'We know far more about the deep ocean than the moon or Mars,' says explorer Jon Copley",2
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:54,document_indexing_track,"'We know far more about the deep ocean than the moon or Mars,' says explorer Jon Copley",670.788
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:54,chunk_count_track,10 Minute School aims to democratize education for Bangladeshi students,1
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:54,document_indexing_track,10 Minute School aims to democratize education for Bangladeshi students,461.353
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:55,chunk_count_track,10 scorching-hot discoveries made about the sun in 2023,2
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:55,document_indexing_track,10 scorching-hot discoveries made about the sun in 2023,856.898
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:56,chunk_count_track,"14 Best Deals_ TVs, Keyboards, Mice, Chargers, and Earbuds",1
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:56,document_indexing_track,"14 Best Deals_ TVs, Keyboards, Mice, Chargers, and Earbuds",449.585
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:56,chunk_count_track,200+ of the best deals from Amazon's Cyber Monday sale,2
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:56,document_indexing_track,200+ of the best deals from Amazon's Cyber Monday sale,536.364
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:57,chunk_count_track,"2023 Kentucky online sports betting sites_ Best legal sportsbooks, promos, bonuses, mobile apps, how to bet",3
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:57,document_indexing_track,"2023 Kentucky online sports betting sites_ Best legal sportsbooks, promos, bonuses, mobile apps, how to bet",1247.252
MultiHopRAG-DocAwareHybridRAG-OpenRouter(openrouter)-NoGen-MultihopRAG-DAHR-beta_lexical_06-02_16-27,2026-02-06 16:27:58,chunk_count_track,"2023 NFL Week 11 injury roundup_ Rams WR Cooper Kupp, Seahawks RB Kenneth Walker III among stars to exit",1
