run_id,timestamp,entry_type,identifier,value
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Gemma3_04-02_12-05,2026-02-04 12:10:39,chunk_count_track,&#039;Massive intel failure by Mossad&#039;_ Hamas&#039; surprise attack on Israel shocks internet,2
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Gemma3_04-02_12-05,2026-02-04 12:10:39,document_indexing_track,&#039;Massive intel failure by Mossad&#039;_ Hamas&#039; surprise attack on Israel shocks internet,2972.815
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Gemma3_04-02_12-05,2026-02-04 12:10:40,chunk_count_track,"'Angels, demons, spirits and souls do exist,' says exorcist priest who warns against Ouija board use",2
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Gemma3_04-02_12-05,2026-02-04 12:10:40,document_indexing_track,"'Angels, demons, spirits and souls do exist,' says exorcist priest who warns against Ouija board use",636.397
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Gemma3_04-02_12-05,2026-02-04 12:10:44,chunk_count_track,"'In God We Trust' essential to America's future as national faith appears to wane, says Washington pastor",1
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Gemma3_04-02_12-05,2026-02-04 12:10:44,document_indexing_track,"'In God We Trust' essential to America's future as national faith appears to wane, says Washington pastor",4378.211
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Gemma3_04-02_12-05,2026-02-04 12:10:45,chunk_count_track,'They seemed primed to take over'_ How the Great Dying doomed the 'beast tooth' and set the stage for the dawn of the dinosaurs,2
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Gemma3_04-02_12-05,2026-02-04 12:10:45,document_indexing_track,'They seemed primed to take over'_ How the Great Dying doomed the 'beast tooth' and set the stage for the dawn of the dinosaurs,704.471
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Gemma3_04-02_12-05,2026-02-04 12:10:45,chunk_count_track,'Too big to fail' Egypt faces economic crisis but has an anti-Gaza refugee policy. Israel and the U.S. hope that will change,2
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Gemma3_04-02_12-05,2026-02-04 12:10:45,document_indexing_track,'Too big to fail' Egypt faces economic crisis but has an anti-Gaza refugee policy. Israel and the U.S. hope that will change,474.833
