run_id,timestamp,entry_type,identifier,value
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:31,chunk_count_track,&#039;Massive intel failure by Mossad&#039;_ Hamas&#039; surprise attack on Israel shocks internet,2
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:31,document_indexing_track,&#039;Massive intel failure by Mossad&#039;_ Hamas&#039; surprise attack on Israel shocks internet,759.820
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:31,chunk_count_track,"'Angels, demons, spirits and souls do exist,' says exorcist priest who warns against Ouija board use",2
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:31,document_indexing_track,"'Angels, demons, spirits and souls do exist,' says exorcist priest who warns against Ouija board use",58.860
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:31,chunk_count_track,"'In God We Trust' essential to America's future as national faith appears to wane, says Washington pastor",2
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:31,document_indexing_track,"'In God We Trust' essential to America's future as national faith appears to wane, says Washington pastor",86.510
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:31,chunk_count_track,'They seemed primed to take over'_ How the Great Dying doomed the 'beast tooth' and set the stage for the dawn of the dinosaurs,3
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:31,document_indexing_track,'They seemed primed to take over'_ How the Great Dying doomed the 'beast tooth' and set the stage for the dawn of the dinosaurs,82.023
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:31,chunk_count_track,'Too big to fail' Egypt faces economic crisis but has an anti-Gaza refugee policy. Israel and the U.S. hope that will change,2
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:31,document_indexing_track,'Too big to fail' Egypt faces economic crisis but has an anti-Gaza refugee policy. Israel and the U.S. hope that will change,54.784
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:32,chunk_count_track,"'We know far more about the deep ocean than the moon or Mars,' says explorer Jon Copley",2
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:32,document_indexing_track,"'We know far more about the deep ocean than the moon or Mars,' says explorer Jon Copley",54.696
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:32,chunk_count_track,10 Minute School aims to democratize education for Bangladeshi students,1
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:32,document_indexing_track,10 Minute School aims to democratize education for Bangladeshi students,28.329
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:32,chunk_count_track,10 scorching-hot discoveries made about the sun in 2023,2
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:32,document_indexing_track,10 scorching-hot discoveries made about the sun in 2023,57.199
MultiHopRAG-NaiveVectorDB-OpenRouter(openrouter)-NoGen-Vector-Jinav3_04-02_10-55,2026-02-04 10:55:32,chunk_count_track,"14 Best Deals_ TVs, Keyboards, Mice, Chargers, and Earbuds",2
