run_id,timestamp,entry_type,identifier,value
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,&quot;Q&quot;_Is_for_Quarry,1
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,&quot;Q&quot;_Is_for_Quarry,2.993
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,"10,000_metres",1
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,"10,000_metres",2.333
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,122nd_SS-Standarte,1
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,122nd_SS-Standarte,1.295
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,18th_Independent_Spirit_Awards,1
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,18th_Independent_Spirit_Awards,1.188
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1920_(film),2
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1920_(film),10.195
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1920_(film_series),1
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1920_(film_series),3.538
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1925_Birthday_Honours,1
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1925_Birthday_Honours,1.540
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1956_Night_Series_Cup,1
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1956_Night_Series_Cup,1.712
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1957_Indianapolis_500,2
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1957_Indianapolis_500,8.783
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1964_Georgia_Tech_Yellow_Jackets_football_team,1
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1964_Georgia_Tech_Yellow_Jackets_football_team,1.809
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1974_Texas_Tech_Red_Raiders_football_team,1
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1974_Texas_Tech_Red_Raiders_football_team,1.980
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1984_South_Asian_Games,1
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1984_South_Asian_Games,2.315
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1984_Tennessee_Volunteers_football_team,1
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1984_Tennessee_Volunteers_football_team,1.966
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1991_Mr._Olympia,1
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1991_Mr._Olympia,1.722
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1992–93_Charlotte_Hornets_season,1
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1992–93_Charlotte_Hornets_season,3.129
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1994_FA_Women's_Cup_Final,1
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1994_FA_Women's_Cup_Final,2.507
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1995–96_Manchester_United_F.C._season,2
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1995–96_Manchester_United_F.C._season,11.637
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1998_Toyota_Grand_Prix_of_Long_Beach,1
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1998_Toyota_Grand_Prix_of_Long_Beach,2.100
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1999_Odisha_cyclone,5
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1999_Odisha_cyclone,26.650
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,chunk_count_track,1999_St._Louis_Rams_season,2
HotpotQA_1k-BM25-OpenRouter(openrouter)-OpenAnswer_10-12_11-35,2025-12-10 11:35:10,document_indexing_track,1999_St._Louis_Rams_season,12.938
