run_id,timestamp,entry_type,identifier,value
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,chunk_count_track,&quot;Q&quot;_Is_for_Quarry,1
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,document_indexing_track,&quot;Q&quot;_Is_for_Quarry,3.477
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,chunk_count_track,"10,000_metres",1
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,document_indexing_track,"10,000_metres",5.227
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,chunk_count_track,122nd_SS-Standarte,1
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,document_indexing_track,122nd_SS-Standarte,3.831
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,chunk_count_track,18th_Independent_Spirit_Awards,1
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,document_indexing_track,18th_Independent_Spirit_Awards,3.626
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,chunk_count_track,1920_(film),2
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,document_indexing_track,1920_(film),11.601
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,chunk_count_track,1920_(film_series),1
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,document_indexing_track,1920_(film_series),6.594
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,chunk_count_track,1925_Birthday_Honours,1
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,document_indexing_track,1925_Birthday_Honours,2.603
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,chunk_count_track,1956_Night_Series_Cup,1
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,document_indexing_track,1956_Night_Series_Cup,2.856
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,chunk_count_track,1957_Indianapolis_500,2
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,document_indexing_track,1957_Indianapolis_500,9.490
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,chunk_count_track,1964_Georgia_Tech_Yellow_Jackets_football_team,1
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,document_indexing_track,1964_Georgia_Tech_Yellow_Jackets_football_team,4.547
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,chunk_count_track,1974_Texas_Tech_Red_Raiders_football_team,1
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,document_indexing_track,1974_Texas_Tech_Red_Raiders_football_team,2.573
HotpotQA_1k-HippoRAG-OpenRouter(openrouter)-OpenAnswer_14-01_09-44,2026-01-14 09:44:46,chunk_count_track,1984_South_Asian_Games,1
