run_id,timestamp,entry_type,identifier,value
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,&quot;Q&quot;_Is_for_Quarry,0.712
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,"10,000_metres",0.211
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,122nd_SS-Standarte,0.191
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,18th_Independent_Spirit_Awards,0.183
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1920_(film),0.178
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1920_(film_series),0.178
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1925_Birthday_Honours,0.170
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1956_Night_Series_Cup,0.176
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1957_Indianapolis_500,0.171
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1964_Georgia_Tech_Yellow_Jackets_football_team,0.172
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1974_Texas_Tech_Red_Raiders_football_team,0.181
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1984_South_Asian_Games,0.185
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1984_Tennessee_Volunteers_football_team,0.179
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1991_Mr._Olympia,0.170
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1992–93_Charlotte_Hornets_season,0.174
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1994_FA_Women's_Cup_Final,0.172
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1995–96_Manchester_United_F.C._season,0.171
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1998_Toyota_Grand_Prix_of_Long_Beach,0.179
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1999_Odisha_cyclone,0.169
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1999_St._Louis_Rams_season,0.209
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,1st_Virginia_Regiment,0.196
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2000_ICC_KnockOut_Trophy,0.214
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2000_Tennessee_Titans_season,0.195
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2000–01_Minnesota_Timberwolves_season,0.211
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2006_Miami_Hurricanes_football_team,0.192
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2007_Brownlow_Medal,0.190
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2008_Summer_Olympics,0.203
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2009_Big_12_Conference_football_season,0.192
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2009_Cleveland_Browns_season,0.196
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2009_Colorado_Buffaloes_football_team,0.197
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2011–12_VCU_Rams_men's_basketball_team,0.187
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2012_Louisville_Cardinals_football_team,0.206
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2013_Sugar_Bowl,0.193
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2014_FIFA_World_Cup,0.195
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2014_S_S,0.187
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2014_Young_Hollywood_Awards,0.188
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2015_AFL_Rising_Star,0.186
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2017_US_Open_(tennis),0.188
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,2017–18_Wigan_Athletic_F.C._season,0.188
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,500_Years_Later,0.190
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,514th_Flight_Test_Squadron,0.190
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,60th_National_Hockey_League_All-Star_Game,0.215
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,712_Fifth_Avenue,0.189
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,71st_Golden_Globe_Awards,0.194
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,888_7th_Avenue,0.190
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,A41_road,0.189
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,ABQ_Uptown,0.194
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,AFC_North,0.191
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,A_Christmas_Story_The_Musical,0.187
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,A_Rather_Blustery_Day,0.192
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,A_Rickle_in_Time,0.187
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,A_Summer_in_the_Cage,0.205
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Addis_Ababa,0.188
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Ade_Edmondson,0.189
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Adele,0.187
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Adnan_Akmal,0.193
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Adrian_Peterson,0.187
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Adriana_Trigiani,0.192
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Adventures_of_Superman_(TV_series),0.188
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Affiliated_Managers_Group,0.189
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Against_the_Wind_(album),0.190
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Agee_(film),0.205
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Ajuga,0.190
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Alain_Resnais,0.191
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Albanian_Fascist_Party,0.193
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Albert_Ball,0.189
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,"Albert_Park,_Victoria",0.187
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Albertina,0.191
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Aldosterone,0.186
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Alex_Ferguson,0.188
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Alex_Zanardi,0.188
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Alexander_Gordon_Smith,0.207
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Alfred_Balk,0.187
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Alfred_Gell,0.188
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Algeria_at_the_FIFA_World_Cup,0.186
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Alice_David,0.190
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Alice_Upside_Down,0.191
HotpotQA_1k-NoRAGGeneration-OpenRouter(openrouter)-OpenAnswer_07-11_12-43,2025-11-07 12:44:09,document_indexing_track,Alien_(film),0.189
