run_id,timestamp,entry_type,identifier,value
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,&quot;Q&quot;_Is_for_Quarry,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,&quot;Q&quot;_Is_for_Quarry,3.658
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,"10,000_metres",1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,"10,000_metres",3.015
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,122nd_SS-Standarte,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,122nd_SS-Standarte,1.199
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,18th_Independent_Spirit_Awards,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,18th_Independent_Spirit_Awards,1.205
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1920_(film),2
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1920_(film),11.941
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1920_(film_series),1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1920_(film_series),3.272
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1925_Birthday_Honours,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1925_Birthday_Honours,0.847
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1956_Night_Series_Cup,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1956_Night_Series_Cup,0.838
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1957_Indianapolis_500,2
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1957_Indianapolis_500,8.270
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1964_Georgia_Tech_Yellow_Jackets_football_team,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1964_Georgia_Tech_Yellow_Jackets_football_team,0.679
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1974_Texas_Tech_Red_Raiders_football_team,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1974_Texas_Tech_Red_Raiders_football_team,0.858
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1984_South_Asian_Games,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1984_South_Asian_Games,1.336
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1984_Tennessee_Volunteers_football_team,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1984_Tennessee_Volunteers_football_team,0.748
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1991_Mr._Olympia,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1991_Mr._Olympia,0.500
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1992–93_Charlotte_Hornets_season,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1992–93_Charlotte_Hornets_season,1.991
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1994_FA_Women's_Cup_Final,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1994_FA_Women's_Cup_Final,1.242
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1995–96_Manchester_United_F.C._season,2
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1995–96_Manchester_United_F.C._season,9.706
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1998_Toyota_Grand_Prix_of_Long_Beach,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1998_Toyota_Grand_Prix_of_Long_Beach,0.485
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1999_Odisha_cyclone,5
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1999_Odisha_cyclone,18.965
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1999_St._Louis_Rams_season,2
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1999_St._Louis_Rams_season,9.564
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,1st_Virginia_Regiment,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,1st_Virginia_Regiment,0.947
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,2000_ICC_KnockOut_Trophy,2
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,2000_ICC_KnockOut_Trophy,7.224
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,2000_Tennessee_Titans_season,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,2000_Tennessee_Titans_season,1.653
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,2000–01_Minnesota_Timberwolves_season,1
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,2000–01_Minnesota_Timberwolves_season,1.190
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,2006_Miami_Hurricanes_football_team,5
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,document_indexing_track,2006_Miami_Hurricanes_football_team,18.858
HotpotQA_1k-RaptorRAG-OpenRouter(openrouter)-OpenAnswer_07-11_23-28,2025-11-07 23:29:31,chunk_count_track,2007_Brownlow_Medal,1
