run_id,timestamp,entry_type,identifier,value
HotpotQA_1k-NaiveVectorDB-OpenRouter(openrouter)-OpenAnswer-Jina_Reranker_v3_600M_10-02_11-00,2026-02-10 11:01:03,chunk_count_track,&quot;Q&quot;_Is_for_Quarry,1
HotpotQA_1k-NaiveVectorDB-OpenRouter(openrouter)-OpenAnswer-Jina_Reranker_v3_600M_10-02_11-00,2026-02-10 11:01:03,document_indexing_track,&quot;Q&quot;_Is_for_Quarry,731.345
HotpotQA_1k-NaiveVectorDB-OpenRouter(openrouter)-OpenAnswer-Jina_Reranker_v3_600M_10-02_11-00,2026-02-10 11:01:03,chunk_count_track,"10,000_metres",1
HotpotQA_1k-NaiveVectorDB-OpenRouter(openrouter)-OpenAnswer-Jina_Reranker_v3_600M_10-02_11-00,2026-02-10 11:01:03,document_indexing_track,"10,000_metres",52.975
HotpotQA_1k-NaiveVectorDB-OpenRouter(openrouter)-OpenAnswer-Jina_Reranker_v3_600M_10-02_11-00,2026-02-10 11:01:03,chunk_count_track,122nd_SS-Standarte,1
HotpotQA_1k-NaiveVectorDB-OpenRouter(openrouter)-OpenAnswer-Jina_Reranker_v3_600M_10-02_11-00,2026-02-10 11:01:03,document_indexing_track,122nd_SS-Standarte,31.265
HotpotQA_1k-NaiveVectorDB-OpenRouter(openrouter)-OpenAnswer-Jina_Reranker_v3_600M_10-02_11-00,2026-02-10 11:01:03,chunk_count_track,18th_Independent_Spirit_Awards,1
HotpotQA_1k-NaiveVectorDB-OpenRouter(openrouter)-OpenAnswer-Jina_Reranker_v3_600M_10-02_11-00,2026-02-10 11:01:03,document_indexing_track,18th_Independent_Spirit_Awards,31.478
HotpotQA_1k-NaiveVectorDB-OpenRouter(openrouter)-OpenAnswer-Jina_Reranker_v3_600M_10-02_11-00,2026-02-10 11:01:03,chunk_count_track,1920_(film),2
HotpotQA_1k-NaiveVectorDB-OpenRouter(openrouter)-OpenAnswer-Jina_Reranker_v3_600M_10-02_11-00,2026-02-10 11:01:03,document_indexing_track,1920_(film),166.013
HotpotQA_1k-NaiveVectorDB-OpenRouter(openrouter)-OpenAnswer-Jina_Reranker_v3_600M_10-02_11-00,2026-02-10 11:01:03,chunk_count_track,1920_(film_series),1
