run_id,timestamp,entry_type,identifier,value
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,a_game_of_thrones,1.713
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,a_portrait_of_the_artist_as_a_young_man,0.204
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,a_son_of_the_soil,0.154
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,a_tale_of_two_cities,0.143
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,all_our_shimmering_skies,0.149
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,and_then_there_were_none,0.137
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,anna_karenina,0.131
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,anne_of_green_gables,0.135
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,atonement,0.136
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,ayalas_angel,0.128
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,before_i_go_to_sleep,0.131
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,birds_of_prey,0.134
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,brave_new_world,0.137
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,brideshead_revisited,0.131
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,can_you_forgive_her,0.127
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,crime_and_punishment,0.127
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,dead_souls,0.131
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,dubliners,0.125
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,emma,0.319
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,first_love_last_rites,0.126
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,flowers_for_algernon,0.125
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,frankenstein,0.127
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,frankissstein,0.125
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,gone_with_the_wind,0.126
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,great_expectations,0.134
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,harry_potter_and_the_prisoner_of_azkaban,0.214
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,harry_potter_and_the_sorcerers_stone,0.195
NovelQA-NoRAGGeneration-OpenRouter(openrouter)-MCQA_07-11_19-37,2025-11-07 19:38:00,document_indexing_track,jane_eyre,0.173
