run_id,timestamp,entry_type,identifier,value
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:35:34,chunk_count_track,a_game_of_thrones,305
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:35:34,document_indexing_track,a_game_of_thrones,43485.397
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:35:45,chunk_count_track,a_portrait_of_the_artist_as_a_young_man,83
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:35:45,document_indexing_track,a_portrait_of_the_artist_as_a_young_man,11823.105
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:36:13,chunk_count_track,a_son_of_the_soil,192
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:36:13,document_indexing_track,a_son_of_the_soil,27366.621
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:36:33,chunk_count_track,a_tale_of_two_cities,139
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:36:33,document_indexing_track,a_tale_of_two_cities,19853.411
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:36:51,chunk_count_track,all_our_shimmering_skies,129
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:36:51,document_indexing_track,all_our_shimmering_skies,18630.453
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:37:00,chunk_count_track,and_then_there_were_none,61
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:37:00,document_indexing_track,and_then_there_were_none,8750.660
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:37:51,chunk_count_track,anna_karenina,355
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:37:51,document_indexing_track,anna_karenina,51162.794
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:38:06,chunk_count_track,anne_of_green_gables,103
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:38:06,document_indexing_track,anne_of_green_gables,14851.687
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:38:24,chunk_count_track,atonement,120
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:38:24,document_indexing_track,atonement,17517.805
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:38:57,chunk_count_track,ayalas_angel,230
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:38:57,document_indexing_track,ayalas_angel,33073.933
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:39:12,chunk_count_track,before_i_go_to_sleep,109
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:39:12,document_indexing_track,before_i_go_to_sleep,15840.846
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:39:38,chunk_count_track,birds_of_prey,177
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:39:38,document_indexing_track,birds_of_prey,25420.712
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:39:49,chunk_count_track,brave_new_world,74
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:39:49,document_indexing_track,brave_new_world,10664.243
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:40:07,chunk_count_track,brideshead_revisited,130
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:40:07,document_indexing_track,brideshead_revisited,18723.864
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:40:52,chunk_count_track,can_you_forgive_her,310
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:40:52,document_indexing_track,can_you_forgive_her,44567.517
NovelQA-NaiveVectorDB-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_10-02_11-34,2026-02-10 11:41:24,chunk_count_track,crime_and_punishment,227
